id	sentences	words	word_types	verbal_phrases	ttr1	ttr2
1	16	126	84	6	5.2915026221291805	56.0
2	20	161	93	2	5.182687376950781	53.72049689440994
3	14	106	65	1	4.464218328332393	39.85849056603774
4	27	244	149	2	6.74491308016763	90.98770491803279
5	30	154	90	2	5.128225940683707	52.5974025974026
6	16	80	62	1	4.901530373260988	48.05
7	30	194	104	1	5.2798000586948195	55.75257731958763
8	39	187	92	1	4.757206747954176	45.2620320855615
9	35	165	112	0	6.165397084707619	76.02424242424243
10	26	171	100	7	5.407380704358752	58.47953216374269
11	22	150	116	3	6.697263122599658	89.70666666666666
12	25	161	81	3	4.5139535218603575	40.75155279503105
13	6	77	56	3	4.51260859854213	40.72727272727273
14	25	149	73	1	4.228776458453494	35.76510067114094
15	13	72	49	3	4.083333333333333	33.34722222222222
16	35	240	149	5	6.800888422355812	92.50416666666666
17	18	105	56	3	3.8643671323171835	29.866666666666667
18	15	111	74	2	4.96655480858378	49.333333333333336
19	7	42	38	0	4.1461399144838555	34.38095238095238
20	10	79	52	3	4.136897877713796	34.22784810126582
21	20	127	86	3	5.396119924188163	58.23622047244095
22	2	24	18	1	2.598076211353316	13.5
23	30	198	114	5	5.728715546977509	65.63636363636364
24	39	232	120	3	5.570860145311556	62.06896551724138
25	16	112	58	3	3.8752880077301537	30.035714285714285
26	23	156	82	4	4.6423358399928425	43.1025641025641
27	7	48	32	2	3.2659863237109046	21.333333333333332
28	28	141	89	3	5.299872874161182	56.177304964539005
29	23	136	68	1	4.123105625617661	34.0
30	15	103	52	0	3.623011674316412	26.25242718446602
31	34	218	129	2	6.177979539676426	76.3348623853211
32	36	211	109	3	5.3060369802724665	56.308056872037916
33	12	66	46	1	4.003786086981051	32.06060606060606
34	26	127	83	4	5.207883182646716	54.24409448818898
35	33	142	73	2	4.3317530524075645	37.528169014084504
36	24	202	121	4	6.019975000770435	72.48019801980197
37	31	206	121	3	5.9612421328939735	71.07281553398059
38	17	121	85	2	5.464006945532413	59.710743801652896
39	22	186	105	4	5.4439963973347325	59.274193548387096
40	16	84	59	0	4.551948823881712	41.44047619047619
41	3	17	12	0	2.057983021710106	8.470588235294118
42	14	95	54	1	3.917571750594063	30.694736842105264
43	8	52	37	1	3.6281485000564047	26.326923076923077
44	28	143	52	4	3.0748244591432297	18.90909090909091
45	20	125	72	1	4.553679830642467	41.472
46	11	108	45	0	3.0618621784789726	18.75
47	18	117	76	3	4.968275423500662	49.36752136752137
48	33	173	99	9	5.3222729726476565	56.653179190751445
49	27	109	53	3	3.589612945836561	25.770642201834864
50	4	32	27	0	3.375	22.78125
51	13	148	89	2	5.173019924099958	53.520270270270274
52	15	97	65	0	4.666728031015298	43.55670103092783
53	27	143	81	2	4.789630407511569	45.88111888111888
54	31	173	111	1	5.967396969332221	71.21965317919076
55	10	85	52	2	3.988217942006326	31.811764705882354
56	22	199	140	1	7.017565899639197	98.49246231155779
57	23	132	87	2	5.354479857600974	57.34090909090909
58	14	71	46	1	3.86023424816477	29.802816901408452
59	22	160	86	0	4.807546151624548	46.225
60	6	34	26	0	3.1529631254723287	19.88235294117647
61	23	120	74	6	4.77667946032248	45.63333333333333
62	14	117	59	3	3.856950657717619	29.752136752136753
63	17	96	48	5	3.464101615137755	24.0
64	6	83	46	2	3.570292418249131	25.49397590361446
65	24	138	81	4	4.8756270499736525	47.54347826086956
66	25	124	84	1	5.334005334008001	56.903225806451616
67	20	119	64	4	4.148503830733852	34.42016806722689
68	33	149	97	2	5.6190591297258745	63.147651006711406
69	18	76	52	2	4.217756949399826	35.578947368421055
70	28	181	123	1	6.464736474099932	83.58563535911603
71	21	168	89	5	4.855348057750831	47.148809523809526
72	25	222	127	2	6.027153273028369	72.65315315315316
73	21	183	95	1	4.965729548148508	49.31693989071038
74	28	106	46	3	3.159292970819848	19.962264150943398
75	21	152	93	5	5.33391581249056	56.901315789473685
76	19	141	68	0	4.049341072392813	32.794326241134755
77	47	212	111	3	5.390636536082816	58.117924528301884
78	31	244	85	2	3.8477692068070373	29.610655737704917
79	18	125	63	1	3.984469851812158	31.752
80	21	181	110	3	5.781471643504004	66.85082872928177
81	15	121	63	1	4.049793383159318	32.80165289256198
82	23	114	63	4	4.172276924754888	34.81578947368421
83	9	60	46	1	4.199206274206274	35.266666666666666
84	11	60	28	2	2.556038601690775	13.066666666666666
85	31	178	80	3	4.23999152002544	35.95505617977528
86	28	210	116	2	5.660220423101492	64.07619047619048
87	39	156	102	2	5.774612874137437	66.6923076923077
88	20	135	77	3	4.686070769766421	43.91851851851852
89	29	75	32	1	2.6127890589687235	13.653333333333334
90	9	90	54	0	4.024922359499621	32.4
91	15	93	54	2	3.959472105576539	31.35483870967742
92	51	269	140	3	6.035828589829176	72.86245353159852
93	22	263	180	4	7.848372963545052	123.19391634980988
94	25	116	62	2	4.070499418651399	33.13793103448276
95	36	171	101	4	5.461454511402339	59.654970760233915
96	15	86	59	2	4.498707824811838	40.47674418604651
97	21	124	87	2	5.524505524508287	61.04032258064516
98	34	167	114	4	6.237802468876243	77.82035928143712
99	20	162	102	4	5.666666666666667	64.22222222222223
100	17	109	57	3	3.8605271304279993	29.807339449541285
101	40	207	120	8	5.897678246195886	69.56521739130434
102	26	99	55	2	3.908679799852858	30.555555555555557
103	18	141	75	3	4.466185006315603	39.8936170212766
104	21	155	81	4	4.600490857401225	42.329032258064515
105	34	182	93	5	4.8745244907569205	47.52197802197802
106	30	154	110	2	6.267831705280087	78.57142857142857
107	52	251	121	2	5.4004942963971665	58.330677290836654
108	21	135	81	2	4.929503017546495	48.6
109	24	125	59	1	3.7314876389986877	27.848
110	13	103	57	0	3.971378181462221	31.54368932038835
111	36	233	144	2	6.670671186413944	88.99570815450643
112	30	171	113	4	6.110340195925389	74.67251461988305
113	28	126	72	4	4.535573676110727	41.142857142857146
114	24	142	82	3	4.865804798594798	47.352112676056336
115	29	194	94	1	4.77212697612801	45.54639175257732
116	4	24	19	1	2.7424137786507226	15.041666666666666
117	25	121	68	1	4.37120555642593	38.21487603305785
118	28	203	123	1	6.10438750392122	74.52709359605912
119	37	185	132	11	6.86235323281248	94.18378378378378
120	20	149	72	3	4.170848013817144	34.79194630872483
121	15	143	99	1	5.8539927202919175	68.53846153846153
122	29	206	97	1	4.778846999096822	45.6747572815534
123	29	144	79	2	4.655119642811438	43.34027777777778
124	9	63	39	1	3.474396144861517	24.142857142857142
125	1	49	35	0	3.5355339059327378	25.0
126	10	103	62	3	4.319744688608029	37.320388349514566
127	23	146	88	7	5.149810476629745	53.04109589041096
128	30	141	109	4	6.490855542512009	84.26241134751773
129	25	141	75	5	4.466185006315603	39.8936170212766
130	39	257	123	3	5.42529742411214	58.86770428015564
131	24	195	116	5	5.873888329085267	69.0051282051282
132	25	216	125	3	6.014065304058602	72.33796296296296
133	44	186	116	6	6.014319829436467	72.34408602150538
134	24	156	83	2	4.698949691700072	44.16025641025641
135	11	107	67	1	4.580025711065244	41.953271028037385
136	41	234	121	7	5.5932269786043936	62.56837606837607
137	8	100	63	2	4.4547727214752495	39.69
138	24	164	100	0	5.521576303742327	60.97560975609756
139	12	60	31	2	2.8298998804433584	16.016666666666666
140	30	139	87	3	5.217913251965385	54.45323741007194
141	33	227	133	3	6.241999284370297	77.9251101321586
142	24	156	94	1	5.321702060479599	56.64102564102564
143	19	121	74	0	4.756900164345866	45.256198347107436
144	31	148	84	1	4.88240082724041	47.67567567567568
145	24	168	111	0	6.055546454048788	73.33928571428571
146	3	76	55	0	4.46108908109597	39.80263157894737
147	39	258	172	2	7.571877794400365	114.66666666666667
148	17	127	56	1	3.513752508773688	24.69291338582677
